TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION,DIST_NEAREST_HAWKER_WALK,DIST_NEAREST_MRT_WALK,DIST_NEAREST_PRI_SCH_WALK,DIST_NEAREST_SEC_SCH_WALK,DIST_NEAREST_MALL_WALK
woodlands,205,marsiling drive,730205,1.444946,103.773484,14,north coast,woodlands,north region,720.5,2093.3,1850.8,1361.1,2095.3
clementi,506,west coast drive,120506,1.312517,103.760867,12,clementi central,clementi,west region,320.5,600.6,526.7,542.2,600.3
sengkang,267B,compassvale link,542267,1.3832,103.897433,17,compassvale,sengkang,north-east region,3527.7,918.4,354.9,381.0,1196.8
woodlands,521,woodlands drive 14,730521,1.433716,103.793326,12,woodlands south,woodlands,north region,2030.8,970.3,572.7,1110.7,1204.9
pasir ris,531,pasir ris drive 1,510531,1.371362,103.950398,8,pasir ris central,pasir ris,east region,4406.6,483.8,1087.4,1213.1,1111.5
tampines,848,tampines street 82,520848,1.352476,103.936057,12,tampines west,tampines,east region,2143.6,1102.6,589.9,802.7,693.2
pasir ris,425,pasir ris drive 6,510425,1.36957,103.954864,11,pasir ris drive,pasir ris,east region,4715.6,1577.8,556.6,784.9,934.1
punggol,622A,punggol central,821622,1.399928,103.911047,18,waterway east,punggol,north-east region,6313.2,924.0,431.0,416.3,666.7
tampines,498M,tampines street 45,529498,1.36189,103.957741,10,tampines east,tampines,east region,3165.5,1008.3,1298.1,650.1,1481.9
geylang,36,eunos crescent,400036,1.321172,103.901773,19,geylang east,geylang,central region,423.9,337.1,1595.9,1614.9,2348.6
central area,636,veerasamy road,200636,1.306307,103.855387,8,little india,rochor,central region,221.2,215.2,1246.4,532.1,571.2
geylang,9,pine close,390009,1.309469,103.882438,12,aljunied,geylang,central region,476.5,458.2,934.2,802.1,1335.7
tampines,444,tampines street 42,520444,1.358341,103.95138,12,tampines east,tampines,east region,2485.7,673.5,438.1,659.3,1050.9
bedok,623,bedok reservoir road,470623,1.333658,103.916805,12,kaki bukit,bedok,east region,475.0,570.0,903.9,1895.5,2811.8
bukit timah,9,toh yi drive,590009,1.338305,103.773542,13,anak bukit,bukit timah,central region,637.9,636.2,947.1,3152.8,2909.9
jurong east,49,teban gardens road,600049,1.320989,103.738181,4,teban gardens,jurong east,west region,742.6,1050.1,2527.5,1333.3,2719.8
bishan,214,bishan street 23,570214,1.357512,103.848303,11,marymount,bishan,central region,1144.3,1061.7,852.6,687.1,1161.3
toa payoh,257,kim keat avenue,310257,1.332607,103.857271,13,kim keat,toa payoh,central region,680.7,1351.9,936.5,886.8,1699.6
sengkang,158B,rivervale crescent,542158,1.388413,103.906676,18,rivervale,sengkang,north-east region,4442.7,1500.6,508.5,607.9,1343.5
toa payoh,105,potong pasir avenue 1,350105,1.334424,103.868697,16,potong pasir,toa payoh,central region,1741.2,539.8,665.9,506.9,2667.6
jurong east,250,jurong east street 24,600250,1.342653,103.739977,12,yuhua east,jurong east,west region,397.2,699.7,275.8,385.9,1631.6
jurong west,902,jurong west street 91,640902,1.339116,103.68661,13,yunnan,jurong west,west region,3930.4,1745.8,352.9,308.0,1766.0
clementi,111,clementi street 13,120111,1.323216,103.771126,13,sunset way,clementi,west region,1239.8,1005.2,1378.9,1464.0,1524.7
tampines,820,tampines street 81,520820,1.34793,103.93612,4,tampines west,tampines,east region,1834.6,508.3,166.1,401.6,1046.2
sengkang,302B,anchorvale link,542302,1.387862,103.890705,15,anchorvale,sengkang,north-east region,4256.9,956.2,678.2,592.9,1097.5
choa chu kang,123,teck whye lane,680123,1.379196,103.749458,11,teck whye,choa chu kang,west region,5153.0,1186.4,718.3,1070.2,1563.3
serangoon,550,serangoon north avenue 3,550550,1.37271,103.870605,16,serangoon north,serangoon,north-east region,1742.3,721.7,831.7,878.3,2993.6
sembawang,591A,montreal link,751591,1.450756,103.826237,15,admiralty,sembawang,north region,2656.2,854.1,858.1,1742.8,998.3
hougang,374,hougang street 31,530374,1.362869,103.889828,18,lorong ah soo,hougang,north-east region,933.0,779.8,1129.6,1105.5,810.4
hougang,451,hougang avenue 10,530451,1.378837,103.895916,13,hougang east,hougang,north-east region,3082.5,1050.1,754.9,781.1,988.4
bishan,238,bishan street 22,570238,1.359761,103.844643,13,marymount,bishan,central region,853.4,854.7,1227.4,535.6,1302.4
bukit merah,4,delta avenue,161004,1.291829,103.826546,16,bukit ho swee,bukit merah,central region,543.0,945.4,333.7,1128.5,946.1
bedok,638,bedok reservoir road,410638,1.331445,103.904435,15,kaki bukit,bedok,east region,1556.0,1040.9,903.6,1080.4,3466.0
sengkang,275A,compassvale link,541275,1.382874,103.894604,15,compassvale,sengkang,north-east region,3648.3,571.7,292.5,889.8,1333.5
jurong east,103,jurong east street 13,600103,1.336687,103.738059,25,yuhua east,jurong east,west region,1278.3,749.2,789.7,1342.1,791.7
bishan,291,bishan street 24,570291,1.35591,103.845158,30,marymount,bishan,central region,1299.6,887.4,989.4,13.1,981.9
tampines,334,tampines street 32,520334,1.35239,103.961042,10,tampines east,tampines,east region,2665.7,1184.4,86.0,606.4,1423.6
punggol,305D,punggol drive,824305,1.405832,103.906791,16,punggol town centre,punggol,north-east region,6468.7,583.7,421.2,833.3,744.8
clementi,376,clementi avenue 4,120376,1.3181,103.766693,12,clementi north,clementi,west region,719.0,400.6,409.2,748.3,532.7
toa payoh,261,toa payoh east,310261,1.333504,103.855238,36,boon teck,toa payoh,central region,441.7,1096.4,881.2,575.3,1315.9
woodlands,873,woodlands street 81,730873,1.443295,103.789747,12,midview,woodlands,north region,2075.5,1173.8,382.4,605.3,1450.7
tampines,230G,tampines street 21,521230,1.356167,103.9503,12,tampines east,tampines,east region,2176.0,550.8,189.5,638.9,732.8
jurong west,721,jurong west avenue 5,640721,1.343993,103.697596,12,yunnan,jurong west,west region,2402.7,758.0,507.9,1082.1,966.4
queenstown,52,commonwealth drive,142052,1.301903,103.797243,20,tanglin halt,queenstown,central region,272.6,458.3,556.5,917.3,1375.2
punggol,308A,punggol walk,821308,1.407761,103.900999,18,punggol town centre,punggol,north-east region,6813.0,430.6,357.4,984.4,479.6
bukit panjang,233,pending road,670233,1.376526,103.77168,13,bangkit,bukit panjang,west region,5073.9,1442.9,491.2,1070.6,1644.8
hougang,127,hougang avenue 1,530127,1.352917,103.88568,4,lorong ah soo,hougang,north-east region,698.8,1707.8,954.0,689.8,1511.4
ang mo kio,301,ang mo kio avenue 3,560301,1.367421,103.845904,12,townsville,ang mo kio,north-east region,766.9,391.5,696.4,616.8,569.5
ang mo kio,608,ang mo kio avenue 5,560608,1.378582,103.83676,12,yio chu kang west,ang mo kio,north-east region,908.2,833.6,945.4,1185.0,2374.7
choa chu kang,273,choa chu kang avenue 2,680273,1.37925,103.743073,14,keat hong,choa chu kang,west region,5306.6,671.2,277.9,1090.2,2598.0
bukit merah,16,telok blangah crescent,090016,1.278054,103.821505,14,telok blangah way,bukit merah,central region,492.4,1460.9,770.0,534.3,1493.5
sengkang,473A,fernvale street,791473,1.39786,103.881233,26,fernvale,sengkang,north-east region,5298.9,2068.2,1177.6,1305.0,1279.2
yishun,398,yishun ring road,760398,1.427676,103.846523,12,yishun east,yishun,north region,2537.4,1660.8,421.6,940.2,1504.1
yishun,391,yishun avenue 6,760391,1.429468,103.849171,11,yishun east,yishun,north region,2807.3,1944.3,411.1,1449.4,1821.6
tampines,495C,tampines street 43,522495,1.363239,103.951625,13,tampines east,tampines,east region,2956.5,1084.3,722.2,663.9,1620.9
hougang,643,hougang avenue 8,530643,1.371546,103.88062,17,hougang west,hougang,north-east region,2153.9,1263.1,459.9,261.7,1741.1
bukit batok,245,bukit batok east avenue 5,650245,1.349648,103.757333,4,bukit batok east,bukit batok,west region,2942.9,1247.4,780.5,848.7,1390.7
punggol,662B,edgedale plains,822662,1.401722,103.918691,19,waterway east,punggol,north-east region,6929.4,1400.0,942.0,1273.7,1029.7
ang mo kio,450,ang mo kio avenue 10,560450,1.368484,103.855468,4,chong boon,ang mo kio,north-east region,365.9,887.4,771.0,598.2,943.3
yishun,628,yishun street 61,760628,1.418078,103.836957,12,yishun south,yishun,north region,2390.1,635.1,580.0,383.6,1357.2
